,Unnamed: 0,Project_ID,Recipient-ID,Recipient_Name,State/Territory,Reporting_Tier,Recipient_Type,Completion_Status,Project_Name,Expenditure_Category_Group,Expenditure_Category,Project_Description,Adopted_Budget,Total_Cumulative_Obligations,Total_Cumulative_Expenditures,Number_of_Households_Served_(Select_Expenditure_Categories_Only),Number_of_Workers_Served_(Select_Expenditure_Categories_Only),Number_of_Gov_FTE_Responding_to_COVID-19_(Select_Expenditure_Categories_Only),Number_of_Gov_FTE_Rehired_(Select_Expenditure_Categories_Only),Community_benefit_agreement?_(Infrastructure_Only),Complying_with_David_Bacon?_(Infrastructure_Only),Project_labor_agreement?_(Infrastructure_Only),Does_the_Project_have_Capital_Expenditures?_(Yes/No)_(Select_Expenditure_Categories_Only),Type_of_Capital_Expenditures_(Select_Expenditure_Categories_Only),Total_Expected_Cost_of_Capital_Expenditures_(Select_Expenditure_Categories_Only),Primary_Demographic_Served_(Select_Expenditure_Categories_Only),Secondary_Demographic_Served_(Select_Expenditure_Categories_Only),Tertiary_Demographic_Served_(Select_Expenditure_Categories_Only),Project_is_conducting_an_evidence_based_program_evaluation?_(Yes/No),Project_Total_Spending_on_Evidence_Based_Evaluation,timestamp,Number_of_Gov_FTE_Rehired_(Select_Expenditure_Categories_Only)2,Complying_with_Davis_Bacon?_(Infrastructure_Only),Project_being_evaluated_through_rigorous_program_evaluation?,Dollar_amount_of_the_total_project_spending_allocated_towards_evidence-based_interventions,Project_Description_keywords,Project_mention_tracing_yn
21,21,TPN-097510,RCP-038552,"County Of Bristol, Massachusetts",Massachusetts,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Local Government,Completed less than 50%,City of Taunton BOH contract tracing nurse,1-Public Health,1.3-COVID-19 Contact Tracing,"The Contract Tracing Nurse is responsible for outreach to individuals who have tested positive for COVID-19 as well as those who are identified as close contacts of a positive individual to provide health education and guidance to interrupt disease transmission. Guided by standard protocols for assessing symptoms, exposure, and other relevant health information, the tracing nurse provides instruction for isolation, self-quarantine, testing, and refers for any needed clinical services.
Based on current cases per day, approx 7,000 people a year will be served by this, with the potential to serve the entire city. Approx 40% of that figure are low to moderate income. 
Program focus mainly on COVID positive people, elderly, children & low to moderate income. Visit over 55 living, soup kitchens, camps, etc... BOH uses survey (verbal), and evaluations of the program to ensure success.",90000.0,45000.0,45000.0,,,,,,,,No,,,1 Imp General Public,,,,,2023-03-31,,,,,"%, Approx, BOH, Based, COVID, COVID-19, Contract, Guided, Nurse, Program, Tracing, Visit, approx, assessing, camps, cases, children, city, clinical, close, contacts, current, day, disease, education, elderly, ensure, entire, evaluations, exposure, figure, focus, guidance, health, identified, income, individual, individuals, information, instruction, interrupt, isolation, kitchens, living, low, moderate, needed, nurse, outreach, people, positive, potential, program, protocols, provide, provides, quarantine, refers, relevant, responsible, self, serve, served, services, soup, standard, success, survey, symptoms, tested, testing, tracing, transmission, uses, verbal, year",yes
22,22,TPN-117208,RCP-040528,"Alliance, Ohio",Ohio,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,ARPA COVID 19 6 VACCINE TEMPERATURE DATA LOGGERS,1-Public Health,1.3-COVID-19 Contact Tracing,ARPA COVID 19 6 VACCINE TEMPERATURE DATA LOGGERS,1389.93,1389.93,1389.93,,,,,,,,No,,,1 Imp General Public,,,,,2023-03-31,,,,,"ARPA, COVID, DATA, LOGGERS, TEMPERATURE, VACCINE",no
23,23,TPN-013917,RCP-036077,"Brazoria County, Texas",Texas,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Local Government,Completed,Insight Global,1-Public Health,1.3-COVID-19 Contact Tracing,"Insight Global is a staffing agency that has supported us throughout most of our COVID-19 pandemic response.  This agency has provided COVID-19 vaccinators, data entry staff, post-vaccine monitoring staff and case investigators/contact tracers. This was needed to support our Health Department with the overwhelming volume of work created by the pandemic.",69037.99,69037.99,69037.99,,,,,,,,No,,,1 Imp General Public,,,,,2023-03-31,,,,,"-, COVID-19, Department, Global, Health, Insight, agency, case, contact, created, data, entry, investigators, monitoring, needed, overwhelming, pandemic, post, provided, response, staff, staffing, support, supported, tracers, vaccinators, vaccine, volume, work",yes
24,24,TPN-013940,RCP-036077,"Brazoria County, Texas",Texas,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Local Government,Completed 50% or more,Yes And LLC,1-Public Health,1.3-COVID-19 Contact Tracing,"When Texas DSHS decided to stop allowing us to use Texas Health Trace in the fall of 2021, we had to transition to a new software program to manage COVID-19 investigations and contact tracing so we secured a contract with (Salesforce) Yes, & .  This company was able to transition our data from Texas Health Trace into a program that we manage as our overall database of record for our COVID-19 response.  It is integral to case investigations but has also evolved into significant support for data analysis.  It helps us geocode our case addresses so we have accurate reporting to the Brazoria County dashboard for public information, it allows us to analyze data, manage COVID-19 cases, review vaccination rates and monitor for “break through” infections.",580872.0,580872.0,424205.0,,,,,,,,Yes,Public health data systems,210000.0,1 Imp General Public,,,,,2023-03-31,,,,,"Brazoria, COVID-19, County, DSHS, Health, Salesforce, Texas, Trace, able, accurate, addresses, allowing, allows, analysis, analyze, break, case, cases, company, contact, contract, dashboard, data, database, decided, evolved, fall, geocode, helps, infections, information, integral, investigations, manage, monitor, new, overall, program, public, rates, record, reporting, response, review, secured, significant, software, stop, support, tracing, transition, use, vaccination",yes
25,25,TPN-025611,RCP-035843,"Louisville-Jefferson County Metro Government, Kentucky",Kentucky,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Local Government,Completed 50% or more,COVID-19 Response - Contact Tracing,1-Public Health,1.3-COVID-19 Contact Tracing,"Our COVID-19 response includes disease investigation activities: case interviews, contact tracing, daily follow-ups for positive cases, essential need requests, specialized teams for disease investigations, quality assurance and staffing 24/7 help line for residents to call with COVID-19 related questions.",8688165.0,7521674.63,7514953.83,,,,,,,,No,Acquisition of equipment for COVID-19 prevention and treatment,27000.0,1 Imp General Public,,,,,2023-03-31,,,,,"COVID-19, activities, assurance, case, cases, contact, daily, disease, essential, follow, help, includes, interviews, investigation, investigations, line, need, positive, quality, questions, related, requests, residents, response, specialized, staffing, teams, tracing, ups",yes
26,26,TPN-024819,RCP-035982,"Laredo City, Texas",Texas,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Local Government,Completed,Contact Tracing,1-Public Health,1.3-COVID-19 Contact Tracing,contact tracing expenses,36121.32,36121.32,36121.32,,,,,,,,No,,,1 Imp General Public,,,,,2023-03-31,,,,,"contact, expenses, tracing",yes
27,27,TPN-099993,RCP-035994,State of Illinois,Illinois,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",State/DC,Cancelled,COVID19 Contract Tracing,1-Public Health,1.3-COVID-19 Contact Tracing,"This project covers COVID-19 contact tracing for all staff, individuals in custody and contractors that report to work daily in our facilities.  As positive cases occur, they are reported via phone call, tracked by Agency, facility and community.  This information is available for reporting to outside Agencies as needed.  Contact tracing also provides direction for quarantine and / or isolation for those individuals reporting positive cases.",0.0,0.0,0.0,,,,,,,,No,,,1 Imp General Public,,,,,2023-03-31,,,,,"Agencies, Agency, COVID-19, Contact, available, cases, community, contact, contractors, covers, custody, direction, facilities, facility, individuals, information, isolation, needed, occur, outside, phone, positive, project, provides, quarantine, report, reported, reporting, staff, tracing, tracked, work",yes
28,28,TPN-013893,RCP-036668,"Juana Diaz Municipio City, Puerto Rico",Puerto Rico,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed 50% or more,CONTACT TRACING SYSTEM,1-Public Health,1.3-COVID-19 Contact Tracing,"Through this Project, the Municipality of Juana Díaz will cover eligible costs related to contact tracing within the Municipality for ensuring the continuity of COVID-19 preventive and protective measures.",,83086.39,62576.94,,,,,,,,No,,,1 Imp General Public,,,,,2023-03-31,,,,,"COVID-19, Díaz, Juana, Municipality, Project, contact, continuity, costs, cover, eligible, ensuring, measures, preventive, protective, related, tracing",yes
29,29,TPN-078616,RCP-036662,"Fajardo Municipio, Puerto Rico",Puerto Rico,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed 50% or more,Municipality if Fajardo COVID19 Contact Tracing ARPA,1-Public Health,1.3-COVID-19 Contact Tracing,"The Municipality of Fajardo implemented a COVID-19 contact tracing expenses program with the Fiscal Recovery Funds to cover COVID-19 monitoring related expenses that will enhance its public health surveillance capacity response to the pandemic. The program expenses costs consist of acquisition of equipment such computer and data systems, vehicle to provide monitoring throughout the city including remote areas with vulnerable population, and other administrative expenses related to monitoring services. The main goal of the program is to support efforts to monitor properly the spread of the disease and prevent the spread of COVID-19, and that these services are accessible consistently for the population",,28343.97,28343.97,,,,,,,,Yes,Acquisition of equipment for COVID-19 prevention and treatment,27264.0,1 Imp General Public,,,,,2023-03-31,,,,,"COVID-19, Fajardo, Fiscal, Funds, Municipality, Recovery, accessible, acquisition, administrative, areas, capacity, city, computer, consist, contact, costs, cover, data, disease, efforts, enhance, equipment, expenses, goal, health, implemented, including, main, monitor, monitoring, pandemic, population, prevent, program, provide, public, related, remote, response, services, spread, support, surveillance, systems, tracing, vehicle, vulnerable",yes
30,30,TPN-009756,RCP-038102,"Worcester, Massachusetts",Massachusetts,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed less than 50%,DPH/HHS Software and Technology,1-Public Health,1.3-COVID-19 Contact Tracing,Technology and software improvements for the Department of Health and Human Services and Division of Public Health. These will help the Department/division better conduct its pandemic related work in the community and in remote settings.,76995.0,1220.0,1220.0,,,,,,,,No,,,1 Imp General Public,,,,,2023-03-31,,,,,"Department, Division, Health, Human, Public, Services, Technology, community, conduct, division, help, improvements, pandemic, related, remote, settings, software, work",no
